,text,ton,keywords,names,likes,replies
21,"сколько можно     говорить польза есть какая нибудь стоят 7 клоунов и вот  ругают друг друга .Все плохие ,одни Вы хорошие.Оставте зтих поляков с украинцами в покое ,ну не хотят они с вами дружить,и не надо.Не надоело Вам одно и тоже болтать каждый раз.Лучше поговорите о внутреннем положении в России.Всвоём глазу бревно надо искать.",negative,"['друг друга', 'внутренний положение']",,0.0,0.0
22,"Проблема в том что ситуация в стране зашла в тупик.Нашу олигархию зажимают потому что поняли ее аппетиты.Их западные коллеги по цеху которые в отличчии от своиих российских братьев платят налоги покупают технологии строят заводы дают людям работу и понимают что деньги зарабатываюся только трудом ...Так вот эти люди наконец поняли какого джина из бутылки они в России выпустили уничтожив социализм и советскую власть.Когда поняли? Когда нефть сразу стала стоить по двести баксов за баррель  и раком поставили всех и тойоту  и фольксваген и опель  и всех всех остальных.....И ладно бы населению страны хоть что-то бы отвалилось с таких баснословных денег.Им строили новые квартиры и раздавали как комммунисты бесплатно? А может больницы новые вам строили а не закрывали? Мундиаль вам справили, дурики стадионы футбольные построили.А тепепрь поищите и найдите все то бабло которое испарилось со счетов государтва на эти столь необходимые стройки , и сколько вся эта бутафория простоит.И я вот слушаю ваши речи в этой передаче про то куда нашим бы олигархам метнуться сегодня или под кого лечь....И становится просто противно до чего же дожила страна....Сидите и перебираете варианты.А может зад китайцам подставить? А может еще кому? Ну вот с евросоюзом и штатами не получается не нужна им наша олигархия никак просто, это просто вороны и бакланы со свалки СССР прилетевшие к газовым и нефтяным месторождениям....Которые тридцать лет клюют бабло и все не могут им нажраться...И ни до кого не доходит что сколько им его не дай эти люди никогда ничего производить не будут и уж тем более вкладывать во что то деньги чтобы у вас в Росии у каждого была работа.Вот когда это до каждого россиянина дойдет надеюсь что на передаче у Соловьева от него самого а может от наших граждан я услышу те самые правильные грамотные и уммные вопросы когда же мы начнем жить для всей страны дорогие господа наши нефти то осталось всего на 25 лет...И если еще так весело пожить как эти тридцать лет смысл то какой было рушить социализм если тридцать лет жили для счастья стаи хищных крыс так словно ресурсов природных у нас как в Латвии Эстонии Литве или в Румынии....",negative,"['тридцать лет', 'люди']",соловьев,0.0,2.0
23,Скажу еще больше .Дружбу с китаем можно просмотреть на простом примере.Водичку из Байкала начали туда продавать? Дорогие граждане кто из вас с этого поимел хоть одну копейку? Хоть одна пенсия детское пособие или стипендия студента повысились? А Китай хочет кстати приобретать все эти ресусы по самым нулевым ценам и дешевле как только можно.Гляньте что они творят все эти тридцать лет в африке.Вы в советское время межднународное обозрение смотрели? Ну вот там все показывали разных народных борцов противостоящих мировому империализму.Борцы были из самых разных стран.А указывали нам на США который был как нам говорили главным поработителям стран у кого много ресурсов.А вот сегодня это уже можно сказать о Китае.Кому сегодня торчит деньги Роснефть и как собирается китайцам отдавать такой должок?,neutral,"['китай', 'самые разные стран.']",,0.0,0.0
24,Нам надо не на Украину смотреть где сегодня просто задница а не жизнь нам надо глянуть на самих себя и спросить через тридцать лет вот такого капитализма ничего не производя и живя жизнью сырьевой колонии когда нефти осталось на 25 лет какое у нас будущее и что будут делать те кто нас грабил когда нефть закончится? А ведь закончится может и не только она одна.Так ведь к этому надо готовиться .Сажайте лес усиленно потом когда нефти не будет торговать можно будет им придумайте технологии как сделать чтобы лес пилился и никогда не заканчивался то есть высаживали новые деревья как сделать так чтобы не было пожаров и многое многое другое.Но ведь некоторые уже миллиардеры и у них все есть а у других у большинства только одни долги и банковская кабала.А ведь в один прекрасный день этот нарыв лопнет и начнется гангрена.Так было в СССР когда вы убегали из советских республик и бросали все что понастроила страна за 70 лет.А тепепрь Вольфовичи рассуждают кого надо было брать в состав России до революции а кого нет.Вы за тридцать лет откусили один Крым.И больше почему-то в Россию не вернулся никто.А почему? почему никто не хочет так жить как вы живете тридцать лет ведь в магазиах все есть?,negative,"['тридцать лет', 'нефть']",вольфович,0.0,0.0
25,"Нихера вы не знаете о войне!обстреливать пенсионеров и детей,это не война!надеюсь,возможно вы познаете что есть война,когда Россия принудит вас к миру!",negative,"['россия', 'пенсионеры']",,0.0,0.0
26,"Браво Багдасаров действительно никому верить нельзя кругом одни враги, надо думать только о своем государстве!",negative,"['одни враги', 'государство']",багдасаров,0.0,0.0
27,"Нужен ты кому то д.в. чтобы о тебя руки марать, кроме оскорблений у тебя ума ни на что не хватает!",negative,"['ум', 'рука']",,0.0,0.0
28,59:18 - ВОТ!,neutral,[],,0.0,0.0
29,Позор Украине. Уроды.,negative,"['уроды', 'украина']",,0.0,0.0
30,Zеленский! КАКАЯ ДЭТИНА!??? Придурок. Вы по мирным жителям Донбасса полоскали из пулемётов пикирующего самолёта!!! Та женщина с отстреленными ногами сжимающая авоськи с продуктами в центре города посреди бела дня лежала мёртвая всё ещё помню.,negative,"['мирный жители донбасса', 'центр города']",,0.0,0.0
31,"Причём Украина к Европе ,,,????😅😅😅😅😅эти люди странные \nНемцы даже не знают , где это ,,\nАфрика,,, расскажите им это",negative,"['украина', 'люди']",,0.0,0.0
32,если,neutral,[],,0.0,0.0
33,Ковтун красава во ржака !!!!!,positive,"['ржак', 'красава']",,0.0,0.0
34,"Когда 91 год пришел, 🙉🙈мы реально голодали , 6 месяцев не было зарплаты ,,, ужас\nДа , кто-то смеётся над гимном \nСССР,,, они не правы ,,, \nЯ реально уехала из страны, как многие, потому что Россия ушла \nИли нас развалили",negative,"['91 год', '6 месяцев']",,1.0,0.0
35,"Как говорили в Одессе, будем посмотреть ,,,\nУкраина - это дет . Дом \nЯ там выросла именно так \nЗапад всегда был цветок , а мы все были быдло , пасынки , то ещё легко \nСказано",neutral,"['цветок', 'пасынки']",,0.0,0.0
36,Кедми супер объяснил 👍‼️,positive,[],,0.0,0.0
37,Соловьев 🙉🙈👍👍👍‼️‼️‼️лучший ‼️‼️‼️‼️‼️‼️‼️‼️,positive,['соловьев'],соловьев,0.0,0.0
38,"Все эмигранты в шоке, что случилось с Украиной ,,, \nЭто часть Росси, они что там с ума сошли ,,,",negative,"['часть росси', 'все эмигранты']",росся,0.0,0.0
39,Россия лучше всех‼️‼️‼️♥️,positive,['россия'],,0.0,0.0
40,Соловьев просто супер‼️👍,positive,['соловьев'],соловьев,0.0,0.0
41,владимир соловьев безусловно большой талант!!!! пора переходить ему на радио свободу. bbc или голос америки!!! молодец супер!!!,positive,"['голос америки', 'большая талант']",,0.0,0.0
42,"Это ужасно, отвратительно, какая же чушь Владимирка просто передёргивает",negative,['чушь владимирка'],,0.0,0.0
43,Хатка то твоя на озере заграницей не согрела Соловьев?,neutral,"['хатка', 'соловьев']",соловьев,0.0,0.0
44,А ведь раньше Ковтун не казался таким тупым...,negative,['ковтун'],,0.0,0.0
45,"Слава, где вы были тоггда? ... СЛАВА? Просто убило. Повеселило от души. Соловьёв следующий президент Украины от Камеди клаб? Побежал за попкорном... ЗАА ОРДУУУУУ!!!!!!",skip,"['слава', 'следующий президент украины']",,0.0,0.0
46,Кедми всегда за войну.,neutral,['война'],,0.0,0.0
47,"Россию в очередной раз предали и продали.пока у власти нынешние,мы будем терпеть унижения даже от сраной украины,потому что за ними америка,а у нашей власти там бизнес и семьи.",negative,"['очередной раз', 'наша власть']",,0.0,0.0
48,А тут только одни положительные отзывы... прям идилия....,positive,"['одни положительные отзывы', 'идилия']",,0.0,0.0
49,ХВАТИТ ПРАВИТЕЛЬСТВУ РФ ТВОРИТЬ ДОБРО В УЩЕРБ СВОЕМУ НАСЕЛЕНИЮ!,negative,"['правительство рф', 'ущерб']",,0.0,0.0
50,а какая новость из Сирии ?,neutral,"['какая новость', 'сирия']",,0.0,0.0
51,"Кедми молодец, хорош и красавчик, только он к сожалению умирают. Это видно в его глазах, в полу-движениях, в мимике.",positive,"['сожаление', 'полу-движения']",,0.0,0.0
52,Традиция у тебя хуёвая соловьев-украина!!!В нижнем тагиле хирурги десятками увольняются от нищенской зарплаты это не твоя традиция!!!,negative,"['хуёвая соловьев-украина!!!в', 'твоя традиция']",,0.0,0.0
53,любимый Жериновский очень состарился! дай бог ему 120 лет активной жизни! передвйте ему...1  надо есть листья молодые лопуха или пить из него сок еженевено.. пить сок лопуха... полынь принимать!   3 массажная кровать !!!!!!!!!!!фирма Серагем и желательно 9 программа!,neutral,"['3 массажная кровать', 'сок лопуха']",,0.0,0.0
54,Нужно больше дислайков!,neutral,[],,1.0,0.0
55,Ваш яков за денги что хочеш балтает.,neutral,"['ваш яков', 'хочеш']",,0.0,0.0
56,Реклама конечно задолбала,negative,['реклама'],,0.0,0.0
57,мы тут не живем-мы дохнем.когда очередная гум помощь оседает в магазинах и супермаркетах. А паспорт ваш мне не нужен. это- легализация наемного труда в россиии и не больше,negative,"['очередная гум', 'наёмный труд']",,0.0,0.0
58,Мне вот интересно кто такой бред пишет Зеленскому. И каким надо быть идиотом чтобы серьезно все это пересказывать,negative,"['такая бред', 'идиот']",,0.0,0.0
59,Люблю этого фантомаса Кофтуна.  Хоть какой-то позитив в жизни...   Особенно на 01.15.29,positive,"['фантомас кофтуна', 'какая-то позитив']",,1.0,0.0
60,"Прав Кедми, позорище в России у власти, 5 лет говорят о защите русских на Донбассе и 5 лет нихера не делают, чтобы их защитить. Одно балабольство про экономику, политику и прочее.",negative,"['5 лет нихера', 'одно балабольство']",,0.0,0.0
61,"Мерзкий, трусливый д в, трусит своё полное имя написать, наверное оно не достойно, и если это ты меня пытался оскорбить,то зря старался, это мое родовоя фамилия и я ею горжусь, как и моим родителями и всей семьёй !",negative,"['полное имя', 'моё родовой']",,0.0,0.0
62,Да!!! С празднчком мужики. Я сам 23 года в Шахте.,speech,"['сам 23 года', 'шахта']",,0.0,0.0
63,Кто знает адрес или телефон Ковтуна. Хочу спросить рецепт того шо он курит или нюхает,neutral,"['телефон ковтуна', 'рецепт']",,0.0,0.0
64,"Владимир Рурольфович  передача просто класс Коротченков, Багдасаров, Кедми просто сила. Слов нет это лучшее из того что было. Ну а Жириновский в своем репертуаре = хорошего сказать не имогу",positive,"['слова', 'сила']",жириновский,0.0,0.0
65,"Коротченко молодец, все по уму и четко сказал.",positive,"['ум', 'молодец']",коротченко,0.0,0.0
66,Kto platit etich u-kraji-ncov Debilov ???,neutral,['kto platit etich u-kraji-ncov debilov'],,0.0,0.0
67,"Багдасаров  самая суть умница. Жириновский  говорит много, наверно лишнего, но  очевидное озвучивает как бы в догонку, а именно готовиться точно надо к войне и конечно изменить концепцию обороны. Сформулировать, что если РФ определит опасность для СТРАНЫ, то нанесёт яд. удар первой и масштабный. Пусть трясутся суки. А вообще, надо быть идиотом, что бы не понимать малая часть населения переживёт любую яд. войну, города уже готовы и в них можно будет жить несколько 10 ков лет, так что если захотят избавиться от 2/3 населения планеты, избавятся.",negative,"['война', 'малая часть населения']",жириновский,0.0,0.0
68,"Российской власти похер не только на Донбасс и русских живущих там, но и на собственный народ! Увеличениепенсионного возраста тому пример! Народ для них это просто ноль без галочки!",negative,"['увеличениепенсионный возраст', 'собственный народ']",,1.0,0.0
69,Ржал пол часа Кофтун жжет ордынская история ))))))))))))))),positive,"['пол часа', 'ордынская история']",,0.0,0.0
70,"Жириновский приколист, послушать интересно) хотя здравые мысли говорит, может и не совсем точно.",neutral,"['здравые мысль', 'приколист']",жириновский,0.0,0.0
71,Либерально Демократический Пидо*ас России. Какой же он дебил блин.,negative,"['демократический пидо*ас россии', 'дебил']",,0.0,0.0
72,"1:53:00 - за систему предупреждения китайцы должны платить 100млрд бакс\год, не меньше, и это запустить на соцразвитие страны",neutral,"['соцразвитие страны', 'система предупреждения']",,0.0,0.0
73,"Хватит болтовни! Нужны реальные действия со стороны России. Что мы должны сделать до конца сентября:\n1)  На законодательном уровне ОТМЕНИТЬ все признания вражеских государств: начиная с Украины и заканчивая Омерикой;\n2) Все непризнанные, дружественные нам страны ПРИЗНАТЬ;\n3) Разослать всем малым странам приглашение войти в состав Великой России и при юридическом согласии, принять в состав РФ. Таких государств, которые сейчас находятся под омерикано-европейскими блокадами и гнётом, будет ОЧЕНЬ много;\n4) Всех омерикано-польско-украинских заробитчан и горе-политологов депортировать из России.\nДля начала будет достаточно!  И сразу увидите: как изменится мир и как враги России взвоют от мощи Российской Империи.",neutral,"['все омерикано-польско-украинские заробитчан', 'юридическое согласие']",омерика,1.0,0.0
74,mojet snachalo snimish STALINSKII KITEL kotorii tebe bezumno nravitsya... Soloviov luchshe poi haaa,neutral,"['mojet snachalo snimish stalinskii kitel kotorii tebe bezumno nravitsya', 'soloviov luchshe poi haaa']",,0.0,0.0
75,"45:26 Вспомните гимн УССР!\n""Живи, Україно, прекрасна...\n...Під сонцем свободи, як цвіт, розцвіла.""",skip,"['як', 'цвіт']",,0.0,0.0
76,"Предстоит формирование нового Народного парламента.\nКого бы я хотела видеть в нём:\n- Корнилов Владимир,\n- Копатько Евгений,\n- Килинкаров Спиридон",neutral,"['формирование нового', 'спиридон']",спиридон,1.0,0.0
77,"Ох и чушь Зеленский несет!Самое интересное,что он в нее верит...Ну не так ведь было",negative,"['чушь', 'нея']",,0.0,0.0
78,"Кедми как обычно - в самую точку. Люди в Донбассе нужны или нет? И те, кто под обстрелом, и те, кто по другую сторону разграничения.. Язык русский укорачивают до предела. Не геноцид? Надо, чтобы в ямы сбрасывали? (Я даже завидую людям в Донецке - они свободно говорят на своем языке родном, им чужой язык не навязывают). А паспорта разве всем дают? Только тем, кто поедет жить в РФ. Это странно. И не знаешь - что думать.",negative,"['язык', 'люди']",,0.0,0.0
79,"Две женщины пришли к Соломону с просьбой выяснить, чей ребенок остался жить. Разродились роженицы с разницей в 3 дня, но одна из них случайно задавила во сне малыша. Недолго думая, женщина подменила младенца. Когда утром вторая мать решила покормить ребенка, она увидела, что младенец мертв и ей не принадлежит. Споры, чей же ребенок умер, ни к чему не привели. Дело дошло до драки, но отступать ни одна из женщин не хотела. Царское решение повергло в ужас одну из рожениц – царь велел принести меч и, разрубив живого малыша пополам, отдать половинки обеим претенденткам, чтобы никому не было обидно. Истинная мать пала к ногам правителя и умоляла отдать ребенка ее соседке, сохранив жизнь малышу. Вторая женщина была удовлетворена царским решением и соглашалась принять половину ребенка, зная, что ее малыш уже мертв. Соломон признал право настоящей матери на малыша – родная мать сделает все, чтоб ее ребенок остался жить, пусть даже с чужой женщиной.  Из этой притчи следует , что Украина не родная мать Донбасса , уже оторвала руки и  ноги  от  ""своего "" ребенка.  но все равно хочет вернуть  хотя бы и труп.",skip,"['ребёнок', 'малыш']",соломон,1.0,1.0
80,Хорошая притча 👍,positive,['хорошая притча'],,0.0,0.0
81,"ну не просто так Зеленский говорит... ему, скорее всего, Дональд разрешил...",neutral,['дональд'],дональд,0.0,0.0
82,"так же. Владимир Жириновский  к Вам с Огромным Уважением, Слава из Тюмени ....",neutral,"['огромный уважение', 'тюмень']",владимир жириновский,0.0,0.0
83,Спасибо и с Уважением к Вам Яков ... грамотные  пояснения за тему политики расположение народов и взаимопонимания их ..... Слава Белоусов (Русский родом из России),speech,"['тема политики', 'слава белоусов']",яков,0.0,0.0
84,И про коммуняг Владимир Вольфович все абсолютно правильно говорит 😗,neutral,"['коммуняги', 'вольфович']",владимир вольфович,0.0,0.0
85,"Слава Вітчизні! - Батьківщині слава!\nМолодец Зеленский, как Пушкин вторым смысловым рядом осветил суть врпроса!\n00:01:45  Уявіть, що, наприклад, сусід (ГЕГЕМОН  ОДНОПОЛЯРНОГО  СВІТУ) відібрав у вас двох дітей (15  РЕСПУБЛ ІК). Першу дитину (ПРИБАЛТИКА,  КАВКАЗ) – просто викрав. Їй видали нове свідоцтво про народження (ЕВРОВИЗУ). А потім кажуть: та ми не забирали вашу дитину. Вона сама захотіла жити з нами. Ну і що, що під дулом автоматів? Це її бажання. І взагалі – хто вам сказав, що це– ваша дитина? Вона споконвіку була нашою. Ви не хвилюйтесь, їй тут буде краще, у нас прекрасний притулок біля моря, під сонечком. І ось пройшло п'ять років (30 рокiв вiд 03.12.1989 року, МАЛЬТА: БУШ - ГОРБАЧОВ). І ті, хто був так занепокоєний, кажуть: та, наче, все нормально. Дитина за вами вже не плаче. І взагалі – не сильно вона на вас і схожа (вона Л І БЕРАЛ - РИНКОВИК). Чому вони так кажуть? Тому що це – не їхня дитина.\n\nА другу вашу дитину (УКРАЇНУ,  МОЛДОВУ) закрили в дитячій кімнаті. І поставили озброєну охорону. Вам кажуть – яка охорона? Там нікого немає (тiлькi ГОСДЕП). І ви (РАДЯНСЬКИЙ  НАРОД),  чуєте як ось тут поруч, за стіною, ваша дитина плаче, але не можете туди зайти. Кожного дня у кожного з нас розривається серце.\nІ будь-які перемоги чи здобутки неповноцінні, адже наша родина (СССР) неповна. Та настане день, і ми обов’язково зберемося разом. \n\nБо голос рідної (АНТИФАШИСТКОЇ) крові переможе!",skip,"['ваша дитина', 'кажуть']",пушкин,0.0,0.0
86,"Собачник а не шоу, где там гавкают и несут всякую хрень.",negative,"['всякая хрень', 'шоу']",,0.0,0.0
87,"Правильно Жириновский говорит про царскую Россию, молодец",positive,"['царская россия', 'молодец']",жириновский,0.0,0.0
88,Пщппрппшсшпшшпрпсшшшппшппшпшсшшшсшш,positive,['пщппрппшсшпшшпрпсшшшппшппшпшсшшшсшш'],,0.0,0.0
89,"Мда, Зеленский конечно полную чушь говорит, когда проводит аналогию с детьми, насчет Крыма и Донбасса. Скорее отношение Украины можно сравнить с ненавидящей  мачехой- садисткой по отношению к Крыму и Донбассу.",negative,"['крым', 'донбасс']",,1.0,0.0
90,Очередное соловьиное дерьмо.... Когда ты уже заткнешься,negative,['очередное соловьиное дерьмо'],,0.0,0.0
91,Ну кофтун чмошник насмешил.😂осел не образованый😄,negative,"['чмошник', 'кофтун']",,1.0,0.0
92,У славки рог растёт...или ему чип тупорыльства вшили?,neutral,"['чип тупорыльства', 'славка']",,0.0,0.0
93,"Задрал уже Жирик! Хочет, наверное, дворянином сделаться? Монархия ему нравится! И Майкла Кенского на трон Российский! Дебил...\nУбит был ГРАЖДАНИН Николай Романов с семьей! На это приказа с верху не было - личная инициатива! А свергли царя Николая 2 либерасты! Такие же, как и те, которые развалили СССР! И Жирик такой!",negative,"['жирики', 'царь николая']",жирика,0.0,0.0
94,"Бред, этих дибилов нужно изолировать.",negative,['бред'],,0.0,0.0
95,Слава России! от Путина с трибуни ето как?,neutral,"['слава россии', 'трибунь']",путин,0.0,0.0
96,"Мне очень нравится виражение"" соловьиний помет""",neutral,"['соловьинии помет', 'виражение']",,0.0,0.0
97,Какие виплати.Кто окупировал тот и платит,neutral,[],,0.0,0.0
98,"В советское время были детские садики для ослабленных детей, им давали икру. Были ещё лесные школы, санаторные. Я в детстве в такой школе  прошла курс оздоровления.  Питание там было исключительно вкусное и полезное.",neutral,"['такая школа', 'советское время']",,0.0,6.0
99,😂😂😂😁,neutral,[],,0.0,0.0
100,@teljnyazhka ??????????,neutral,['teljnyazhka'],,0.0,0.0
101,"@svetlana pelipenko да тебе не понять, я знаю 😁",neutral,['svetlana pelipenko'],,0.0,0.0
102,"@teljnyazhka ""один дурак скажет — сто мудрецов не разберут""",skip,"['сто мудрецов', 'один дурак']",,0.0,0.0
103,@svetlana pelipenko исходя из этого определения получается что ты дура 😅,negative,"['svetlana pelipenko', 'определение']",,0.0,0.0
104,"@teljnyazhka. конечно. ..Зело умно изрекаешь, боярин.",neutral,"['боярин', 'teljnyazhka']",,0.0,0.0
105,Путин не отдаст Домбас Украине,neutral,"['украина', 'путин']",путин,0.0,0.0
106,Голобородько?,neutral,['голобородько'],голобородько,0.0,0.0
107,"Я никогда, даю слово! Не куплю палпи!! Заманали!! Поддержите, а то достали.",negative,"['слово', 'палпи']",,0.0,0.0
108,"zemlja emu ne nužen, prodajut",neutral,"['zemlja emu ne nužen', 'prodajut']",,0.0,0.0
109,Да... Жестко же вам подобные передачи промыли мозги,negative,"['подобные передача', 'мозги']",,1.0,0.0
110,"emu ne nuužen lüdi aga šhta zavodõ nalogi, emu narod ne svoi.",neutral,"['emu ne nuužen lüdi aga šhta zavodõ nalogi', 'emu narod ne svoi']",,1.0,0.0
111,"Зомби! Промойте себе глаза! Повсюду разруха, коррупция, растущие налоги. По зомбоящику только и твердят про проблемы в других странах только для того чтобы население меньше замечало свои. Не в одной цивилизованной стране СМИ не принадлежат государству- ТАК ТОЛЬКО В РОССИИ. На митингах ЛЮДЯМ, желающим отстоять свои права, ломали ноги(есть пруфы), били женщин, скручивали стариков, инвалидов и подростков! Как теперь верить в тоталитарный Путинский режим?",negative,"['тоталитарный путинский режим', 'одна цивилизованная страна']",,1.0,0.0
112,Вася - лох !,negative,"['лох', 'вася']",,0.0,0.0
113,Ковтун - дебил !,negative,"['ковтун', 'дебил']",,0.0,0.0
114,"😂😂😂 В РАЕЧКЕ ВСЕ ГОРИТ, ТОНЕТ И ФОНИТ РАДИАЦИЕЙ, А ОНИ ПРО УКРАИНУ 😂😂😂",negative,"['фонит', 'украина']",,0.0,0.0
115,В цирк ходить не надо. Просто надо послушать и посмотреть на Ковтуна.,neutral,"['цирк', 'ковтун']",,1.0,6.0
116,Или на твою морду и твое платье.,neutral,"['твоё платье', 'твоя морда']",,0.0,0.0
117,@D. B. я так понимаю ты с украины?,neutral,"['украина', 'd']",,0.0,0.0
118,"С чего это ты взяла? Будь я с Украины, хрен бы я на вашем собачьем языке писала.",neutral,"['ваш собачий язык', 'хрен']",,0.0,0.0
119,@D. B. а на каком же ты разговориваешь. Сколько злобы. И это всё из-за Ковтуна?,negative,"['ковтун', 'злоба']",,0.0,0.0
120,"А кто тебе, падаль вшивая, позволил его клоуном обзывать? Чтобы у тебя внуки уродами рождались и над ними все хохотали!!!",negative,"['уроды', 'падаль']",,0.0,0.0
121,"@D. B. он сам себя делает клоуном. Без грамотный до безобразия. Не может  выразить ни одну мысль. Его в студию приглашают только лишь для того чтобы, разрядить обстановку. Просто посмеяться. Над ним в открытую смеются. И кто он после этого. Не клоун?  А ты можешь захлебнуться своей желчью. Мне всё равно.",negative,"['клоун', 'одна мысль']",,0.0,0.0
122,Речь Дмитрия Куликова до замирания сердца. Низкий поклон Донбассу за стойкость мужество за русскость за Россию! Вечная память нашим общим Героям павшим! Скорой Победы и возвращения домой в  Россию всему Донбассу!,negative,"['россия', 'наши общие герои']",дмитрия куликова,0.0,0.0
123,"Кедми, как всегда, не в бровь, а в глаз! А Соловьев, заявляя,что в Донбассе люди куда более счастливы, чем в Одессе, потому что там не сожгли 40 человек, пусть на минутку вспомнит, сколько людей здесь убили за 5 лет войны",negative,"['люди', '5 лет войны']",соловьев,0.0,0.0
124,Кофтун лидер дебилов,negative,"['лидер дебилов', 'кофтун']",,0.0,0.0
125,"Какой интересный поворот у кофтуна, на 180с",neutral,"['какая интересный поворот', 'кофтун']",,0.0,0.0
126,Жириновского не пускать в студию. Выжил уже из ума. Безграмотный пустомеля.,negative,"['безграмотный пустомеля', 'ум']",жириновский,0.0,0.0
127,лысого проверяют на наркотики перед программой?,neutral,"['программа', 'наркотики']",,0.0,0.0
128,"С Донбасса на Украину выехали те люди,как говорят 1400т. ,которыми насаждали Донбасс в советское время,т.е жители западных областей.В советское время преподаватели учебных заведений выезжали в западные области Украины  и агитировали на Донбасс учиться,поэтому там выходцев из западных областей много,вот они и выехали на родину.Я в частности,училась с девчонками западенцами из сёла.",neutral,"['донбасс', 'западные область украины']",,1.0,0.0
